brass_acoustic_046-101-050:{'correct_value': 1, 'wrong_value': 0, 'correct_value_percentage': 9.956558147394823e-10, 'wrong_value_percentage': 98.95952343940735}
keyboard_synthetic_000-074-100:{'correct_value': 4, 'wrong_value': 0, 'correct_value_percentage': 0.1035506371408701, 'wrong_value_percentage': 99.42848086357117}
flute_synthetic_000-100-075:{'correct_value': 2, 'wrong_value': 7, 'correct_value_percentage': 0.14598274137824774, 'wrong_value_percentage': 80.81343173980713}
guitar_acoustic_014-074-127:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 30.919253826141357, 'wrong_value_percentage': 51.6948938369751}
brass_acoustic_046-098-075:{'correct_value': 1, 'wrong_value': 0, 'correct_value_percentage': 9.956558147394823e-10, 'wrong_value_percentage': 98.95952343940735}
guitar_electronic_028-040-025:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 10.946028679609299, 'wrong_value_percentage': 85.60614585876465}
bass_synthetic_009-081-025:{'correct_value': 0, 'wrong_value': 9, 'correct_value_percentage': 1.206215750426054, 'wrong_value_percentage': 98.12564253807068}
organ_electronic_007-054-100:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 1.9010133467389778e-07, 'wrong_value_percentage': 99.99737739562988}
bass_synthetic_034-085-100:{'correct_value': 0, 'wrong_value': 4, 'correct_value_percentage': 4.941660165786743, 'wrong_value_percentage': 94.9688196182251}
keyboard_synthetic_000-073-075:{'correct_value': 4, 'wrong_value': 0, 'correct_value_percentage': 2.2268546745181084, 'wrong_value_percentage': 85.66029071807861}
bass_synthetic_134-069-075:{'correct_value': 0, 'wrong_value': 4, 'correct_value_percentage': 35.703045129776, 'wrong_value_percentage': 54.34291362762451}
organ_electronic_028-045-075:{'correct_value': 6, 'wrong_value': 8, 'correct_value_percentage': 0.17929974710568786, 'wrong_value_percentage': 99.31375980377197}
organ_electronic_007-090-050:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 3.848628793434727e-06, 'wrong_value_percentage': 99.99998807907104}
organ_electronic_007-080-050:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 1.5251036700192344e-05, 'wrong_value_percentage': 99.99992847442627}
guitar_acoustic_010-053-100:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 39.15989398956299, 'wrong_value_percentage': 42.08859205245972}
keyboard_synthetic_000-073-127:{'correct_value': 4, 'wrong_value': 0, 'correct_value_percentage': 1.3578559271991253, 'wrong_value_percentage': 67.75091886520386}
bass_synthetic_034-066-127:{'correct_value': 0, 'wrong_value': 4, 'correct_value_percentage': 10.842684656381607, 'wrong_value_percentage': 89.13524746894836}
guitar_acoustic_010-050-050:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 5.548667162656784, 'wrong_value_percentage': 74.77504014968872}
guitar_acoustic_014-046-050:{'correct_value': 3, 'wrong_value': 0, 'correct_value_percentage': 18.66164356470108, 'wrong_value_percentage': 67.56927371025085}
bass_synthetic_135-105-100:{'correct_value': 0, 'wrong_value': 5, 'correct_value_percentage': 20.771296322345734, 'wrong_value_percentage': 50.79813599586487}
keyboard_acoustic_004-029-025:{'correct_value': 4, 'wrong_value': 3, 'correct_value_percentage': 2.8433579951524734, 'wrong_value_percentage': 94.00853514671326}
guitar_electronic_028-103-127:{'correct_value': 3, 'wrong_value': 0, 'correct_value_percentage': 23.136761784553528, 'wrong_value_percentage': 45.56007385253906}
guitar_electronic_028-096-025:{'correct_value': 3, 'wrong_value': 0, 'correct_value_percentage': 20.880550146102905, 'wrong_value_percentage': 45.25161683559418}
organ_electronic_007-016-127:{'correct_value': 6, 'wrong_value': 2, 'correct_value_percentage': 0.39807981811463833, 'wrong_value_percentage': 91.85073375701904}
organ_electronic_028-106-025:{'correct_value': 6, 'wrong_value': 2, 'correct_value_percentage': 2.805131860077381, 'wrong_value_percentage': 46.55962586402893}
flute_synthetic_000-086-075:{'correct_value': 2, 'wrong_value': 9, 'correct_value_percentage': 14.574970304965973, 'wrong_value_percentage': 85.37774682044983}
reed_acoustic_023-046-100:{'correct_value': 7, 'wrong_value': 8, 'correct_value_percentage': 7.5896316786838725e-06, 'wrong_value_percentage': 67.83979535102844}
guitar_acoustic_014-036-100:{'correct_value': 3, 'wrong_value': 0, 'correct_value_percentage': 31.009525060653687, 'wrong_value_percentage': 45.43599486351013}
brass_acoustic_046-100-025:{'correct_value': 1, 'wrong_value': 0, 'correct_value_percentage': 9.956558147394823e-10, 'wrong_value_percentage': 98.95952343940735}
organ_electronic_007-024-127:{'correct_value': 6, 'wrong_value': 2, 'correct_value_percentage': 0.008691281982464716, 'wrong_value_percentage': 54.30469512939453}
string_acoustic_014-033-100:{'correct_value': 8, 'wrong_value': 0, 'correct_value_percentage': 36.63359582424164, 'wrong_value_percentage': 60.966479778289795}
keyboard_synthetic_000-021-025:{'correct_value': 4, 'wrong_value': 5, 'correct_value_percentage': 35.43413579463959, 'wrong_value_percentage': 53.15195918083191}
keyboard_electronic_002-082-100:{'correct_value': 4, 'wrong_value': 3, 'correct_value_percentage': 7.9573772847652435, 'wrong_value_percentage': 90.8265471458435}
guitar_acoustic_010-036-100:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 7.142643630504608, 'wrong_value_percentage': 91.07412099838257}
mallet_acoustic_062-102-075:{'correct_value': 5, 'wrong_value': 3, 'correct_value_percentage': 34.291285276412964, 'wrong_value_percentage': 62.428444623947144}
guitar_electronic_022-057-025:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 4.864436015486717, 'wrong_value_percentage': 83.46725106239319}
keyboard_electronic_001-105-075:{'correct_value': 4, 'wrong_value': 6, 'correct_value_percentage': 3.5442382097244263, 'wrong_value_percentage': 96.42626643180847}
organ_electronic_007-091-100:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 1.978313157735556e-06, 'wrong_value_percentage': 99.99995231628418}
organ_electronic_007-069-075:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 6.935528595874985e-07, 'wrong_value_percentage': 99.99686479568481}
keyboard_electronic_078-070-127:{'correct_value': 4, 'wrong_value': 3, 'correct_value_percentage': 46.042296290397644, 'wrong_value_percentage': 53.60507369041443}
keyboard_electronic_069-061-050:{'correct_value': 4, 'wrong_value': 0, 'correct_value_percentage': 25.28175711631775, 'wrong_value_percentage': 69.16398406028748}
bass_synthetic_134-071-050:{'correct_value': 0, 'wrong_value': 4, 'correct_value_percentage': 32.070744037628174, 'wrong_value_percentage': 38.638538122177124}
brass_acoustic_016-066-127:{'correct_value': 1, 'wrong_value': 0, 'correct_value_percentage': 0.01601132971700281, 'wrong_value_percentage': 57.31934309005737}
organ_electronic_007-045-100:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 8.454284738945717e-05, 'wrong_value_percentage': 99.99771118164062}
keyboard_acoustic_004-107-127:{'correct_value': 4, 'wrong_value': 5, 'correct_value_percentage': 41.229891777038574, 'wrong_value_percentage': 53.47856879234314}
keyboard_synthetic_000-101-100:{'correct_value': 4, 'wrong_value': 0, 'correct_value_percentage': 0.018230620480608195, 'wrong_value_percentage': 93.45719814300537}
brass_acoustic_016-064-100:{'correct_value': 1, 'wrong_value': 7, 'correct_value_percentage': 0.1264612074010074, 'wrong_value_percentage': 51.120978593826294}
guitar_acoustic_014-104-050:{'correct_value': 3, 'wrong_value': 0, 'correct_value_percentage': 19.520455598831177, 'wrong_value_percentage': 40.38515090942383}
organ_electronic_028-034-075:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 0.7052733097225428, 'wrong_value_percentage': 92.12238192558289}
organ_electronic_028-071-025:{'correct_value': 6, 'wrong_value': 2, 'correct_value_percentage': 0.8514969609677792, 'wrong_value_percentage': 47.11550176143646}
organ_electronic_007-010-127:{'correct_value': 6, 'wrong_value': 3, 'correct_value_percentage': 0.011191427620360628, 'wrong_value_percentage': 89.71202373504639}
reed_acoustic_011-043-127:{'correct_value': 7, 'wrong_value': 2, 'correct_value_percentage': 4.287917539477348, 'wrong_value_percentage': 95.65662741661072}
keyboard_acoustic_004-022-050:{'correct_value': 4, 'wrong_value': 3, 'correct_value_percentage': 43.11962127685547, 'wrong_value_percentage': 51.825153827667236}
keyboard_electronic_078-081-127:{'correct_value': 4, 'wrong_value': 3, 'correct_value_percentage': 20.038332045078278, 'wrong_value_percentage': 79.95840907096863}
flute_synthetic_000-091-100:{'correct_value': 2, 'wrong_value': 9, 'correct_value_percentage': 2.0584654062986374, 'wrong_value_percentage': 97.50015139579773}
guitar_acoustic_014-077-050:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 34.16867256164551, 'wrong_value_percentage': 52.737224102020264}
bass_synthetic_034-026-050:{'correct_value': 0, 'wrong_value': 4, 'correct_value_percentage': 3.239031881093979, 'wrong_value_percentage': 96.75774574279785}
brass_acoustic_016-079-075:{'correct_value': 1, 'wrong_value': 0, 'correct_value_percentage': 0.014124465815257281, 'wrong_value_percentage': 75.50907731056213}
bass_synthetic_135-095-100:{'correct_value': 0, 'wrong_value': 5, 'correct_value_percentage': 1.052309013903141, 'wrong_value_percentage': 70.96630334854126}
guitar_electronic_022-063-025:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 5.1316410303115845, 'wrong_value_percentage': 71.62059545516968}
bass_synthetic_033-045-127:{'correct_value': 0, 'wrong_value': 3, 'correct_value_percentage': 3.521611914038658, 'wrong_value_percentage': 95.26610374450684}
guitar_electronic_028-085-075:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 1.5172198414802551, 'wrong_value_percentage': 68.88996362686157}
bass_synthetic_135-106-025:{'correct_value': 0, 'wrong_value': 5, 'correct_value_percentage': 19.41397339105606, 'wrong_value_percentage': 69.30235028266907}
bass_synthetic_135-070-127:{'correct_value': 0, 'wrong_value': 3, 'correct_value_percentage': 2.943636104464531, 'wrong_value_percentage': 78.89070510864258}
reed_acoustic_023-072-127:{'correct_value': 7, 'wrong_value': 1, 'correct_value_percentage': 2.605816451506371e-07, 'wrong_value_percentage': 54.75913882255554}
keyboard_synthetic_000-088-050:{'correct_value': 4, 'wrong_value': 0, 'correct_value_percentage': 21.503838896751404, 'wrong_value_percentage': 73.19198846817017}
keyboard_electronic_078-087-075:{'correct_value': 4, 'wrong_value': 3, 'correct_value_percentage': 44.31308209896088, 'wrong_value_percentage': 55.68212270736694}
bass_synthetic_009-013-025:{'correct_value': 0, 'wrong_value': 1, 'correct_value_percentage': 20.377865433692932, 'wrong_value_percentage': 79.5113205909729}
guitar_electronic_028-097-050:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 0.3899133764207363, 'wrong_value_percentage': 92.51717329025269}
flute_synthetic_000-092-075:{'correct_value': 2, 'wrong_value': 9, 'correct_value_percentage': 23.937836289405823, 'wrong_value_percentage': 72.66676425933838}
reed_acoustic_023-092-025:{'correct_value': 7, 'wrong_value': 1, 'correct_value_percentage': 3.141946436358012e-06, 'wrong_value_percentage': 99.99014139175415}
organ_electronic_007-058-127:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 7.04849583144096e-06, 'wrong_value_percentage': 99.93311166763306}
keyboard_electronic_001-108-050:{'correct_value': 4, 'wrong_value': 6, 'correct_value_percentage': 1.0622096247971058, 'wrong_value_percentage': 98.90841841697693}
reed_acoustic_037-075-050:{'correct_value': 7, 'wrong_value': 1, 'correct_value_percentage': 34.300583600997925, 'wrong_value_percentage': 64.96914625167847}
reed_acoustic_011-039-075:{'correct_value': 7, 'wrong_value': 8, 'correct_value_percentage': 7.149083167314529, 'wrong_value_percentage': 92.83511638641357}
organ_electronic_028-069-050:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 0.03129935066681355, 'wrong_value_percentage': 97.47804999351501}
string_acoustic_014-029-100:{'correct_value': 8, 'wrong_value': 0, 'correct_value_percentage': 1.6829734668135643, 'wrong_value_percentage': 96.48452997207642}
guitar_electronic_028-066-075:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 28.105616569519043, 'wrong_value_percentage': 66.19408130645752}
keyboard_synthetic_000-061-100:{'correct_value': 4, 'wrong_value': 0, 'correct_value_percentage': 0.013670549378730357, 'wrong_value_percentage': 95.14474868774414}
keyboard_synthetic_000-089-075:{'correct_value': 4, 'wrong_value': 0, 'correct_value_percentage': 5.554230883717537, 'wrong_value_percentage': 87.24738359451294}
guitar_electronic_022-043-050:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 8.7954580783844, 'wrong_value_percentage': 90.56293368339539}
organ_electronic_028-030-127:{'correct_value': 6, 'wrong_value': 7, 'correct_value_percentage': 0.11866799322888255, 'wrong_value_percentage': 70.56711912155151}
guitar_electronic_022-077-100:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 7.512731105089188, 'wrong_value_percentage': 72.46870994567871}
organ_electronic_028-037-075:{'correct_value': 6, 'wrong_value': 0, 'correct_value_percentage': 2.0536482334136963, 'wrong_value_percentage': 58.58604311943054}
guitar_electronic_022-050-075:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 6.7638590931892395, 'wrong_value_percentage': 89.8522138595581}
bass_synthetic_134-061-127:{'correct_value': 0, 'wrong_value': 4, 'correct_value_percentage': 21.060286462306976, 'wrong_value_percentage': 68.09215545654297}
keyboard_electronic_078-079-100:{'correct_value': 4, 'wrong_value': 3, 'correct_value_percentage': 11.13101840019226, 'wrong_value_percentage': 88.86715769767761}
guitar_electronic_022-049-050:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 8.567284047603607, 'wrong_value_percentage': 88.57187032699585}
bass_synthetic_033-030-127:{'correct_value': 0, 'wrong_value': 4, 'correct_value_percentage': 6.734990328550339, 'wrong_value_percentage': 49.84091520309448}
bass_synthetic_033-068-127:{'correct_value': 0, 'wrong_value': 4, 'correct_value_percentage': 25.61391294002533, 'wrong_value_percentage': 74.23101663589478}
organ_electronic_007-020-100:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 0.023984050494618714, 'wrong_value_percentage': 64.47296142578125}
guitar_electronic_028-072-075:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 6.289480626583099, 'wrong_value_percentage': 86.39664649963379}
organ_electronic_028-060-075:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 1.1267895810306072, 'wrong_value_percentage': 88.32195401191711}
mallet_acoustic_062-107-100:{'correct_value': 5, 'wrong_value': 3, 'correct_value_percentage': 22.93815165758133, 'wrong_value_percentage': 55.68583607673645}
brass_acoustic_046-094-100:{'correct_value': 1, 'wrong_value': 0, 'correct_value_percentage': 9.956558147394823e-10, 'wrong_value_percentage': 98.95952343940735}
brass_acoustic_046-093-075:{'correct_value': 1, 'wrong_value': 0, 'correct_value_percentage': 9.956558147394823e-10, 'wrong_value_percentage': 98.95952343940735}
keyboard_synthetic_000-102-025:{'correct_value': 4, 'wrong_value': 5, 'correct_value_percentage': 0.29548886232078075, 'wrong_value_percentage': 93.46734285354614}
organ_electronic_028-068-100:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 0.006932573887752369, 'wrong_value_percentage': 99.93614554405212}
bass_synthetic_034-054-100:{'correct_value': 0, 'wrong_value': 4, 'correct_value_percentage': 9.857909381389618, 'wrong_value_percentage': 90.13699889183044}
reed_acoustic_023-054-100:{'correct_value': 7, 'wrong_value': 0, 'correct_value_percentage': 0.00012350513998171664, 'wrong_value_percentage': 99.88893866539001}
brass_acoustic_046-087-127:{'correct_value': 1, 'wrong_value': 0, 'correct_value_percentage': 9.956558147394823e-10, 'wrong_value_percentage': 98.95952343940735}
organ_electronic_007-031-025:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 1.356255694417996e-05, 'wrong_value_percentage': 99.9963641166687}
organ_electronic_007-068-025:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 1.5236777173299743e-06, 'wrong_value_percentage': 99.9984622001648}
bass_synthetic_134-045-100:{'correct_value': 0, 'wrong_value': 3, 'correct_value_percentage': 30.935820937156677, 'wrong_value_percentage': 45.07150650024414}
guitar_electronic_028-055-050:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 1.2127758003771305, 'wrong_value_percentage': 96.99337482452393}
keyboard_electronic_002-071-127:{'correct_value': 4, 'wrong_value': 3, 'correct_value_percentage': 3.7807919085025787, 'wrong_value_percentage': 95.92124223709106}
bass_synthetic_135-098-100:{'correct_value': 0, 'wrong_value': 3, 'correct_value_percentage': 1.007270161062479, 'wrong_value_percentage': 60.55225729942322}
guitar_acoustic_010-024-127:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 31.634345650672913, 'wrong_value_percentage': 64.43123817443848}
flute_acoustic_002-099-050:{'correct_value': 2, 'wrong_value': 7, 'correct_value_percentage': 15.009012818336487, 'wrong_value_percentage': 84.99099016189575}
keyboard_synthetic_000-084-100:{'correct_value': 4, 'wrong_value': 0, 'correct_value_percentage': 0.09699722868390381, 'wrong_value_percentage': 57.00957775115967}
guitar_electronic_028-096-100:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 15.42990505695343, 'wrong_value_percentage': 54.41301465034485}
guitar_electronic_028-075-127:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 9.366440773010254, 'wrong_value_percentage': 59.072357416152954}
brass_acoustic_046-093-050:{'correct_value': 1, 'wrong_value': 0, 'correct_value_percentage': 9.956558147394823e-10, 'wrong_value_percentage': 98.95952343940735}
guitar_acoustic_010-027-127:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 38.126543164253235, 'wrong_value_percentage': 56.120604276657104}
guitar_electronic_022-088-050:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 3.820974752306938, 'wrong_value_percentage': 68.83692741394043}
organ_electronic_007-043-025:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 1.5781546380821965e-05, 'wrong_value_percentage': 99.99914169311523}
brass_acoustic_016-058-025:{'correct_value': 1, 'wrong_value': 0, 'correct_value_percentage': 1.6409574076533318, 'wrong_value_percentage': 46.53930962085724}
guitar_electronic_028-065-050:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 1.4750683680176735, 'wrong_value_percentage': 97.38525152206421}
reed_acoustic_011-039-127:{'correct_value': 7, 'wrong_value': 8, 'correct_value_percentage': 5.331815406680107, 'wrong_value_percentage': 93.78654360771179}
organ_electronic_028-074-025:{'correct_value': 6, 'wrong_value': 5, 'correct_value_percentage': 0.0001589254679856822, 'wrong_value_percentage': 97.27705717086792}
keyboard_synthetic_000-091-050:{'correct_value': 4, 'wrong_value': 5, 'correct_value_percentage': 1.6106229275465012, 'wrong_value_percentage': 96.69149518013}
organ_electronic_007-012-100:{'correct_value': 6, 'wrong_value': 3, 'correct_value_percentage': 1.3648555614054203, 'wrong_value_percentage': 38.120996952056885}
organ_electronic_028-074-075:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 0.0030597217119066045, 'wrong_value_percentage': 83.1028938293457}
organ_electronic_007-041-100:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 0.036260613705962896, 'wrong_value_percentage': 99.07265901565552}
keyboard_electronic_002-077-127:{'correct_value': 4, 'wrong_value': 3, 'correct_value_percentage': 0.7319729309529066, 'wrong_value_percentage': 98.93786311149597}
bass_synthetic_135-067-025:{'correct_value': 0, 'wrong_value': 5, 'correct_value_percentage': 16.84868186712265, 'wrong_value_percentage': 48.52864444255829}
guitar_electronic_022-045-075:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 16.1529079079628, 'wrong_value_percentage': 80.1458477973938}
keyboard_electronic_078-029-025:{'correct_value': 4, 'wrong_value': 3, 'correct_value_percentage': 8.507493883371353, 'wrong_value_percentage': 75.14345049858093}
bass_synthetic_034-059-075:{'correct_value': 0, 'wrong_value': 4, 'correct_value_percentage': 20.771214365959167, 'wrong_value_percentage': 79.21920418739319}
guitar_electronic_022-084-025:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 0.7670422084629536, 'wrong_value_percentage': 87.11714148521423}
guitar_electronic_022-086-127:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 0.14332740101963282, 'wrong_value_percentage': 94.21966075897217}
guitar_acoustic_010-023-127:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 43.619221448898315, 'wrong_value_percentage': 51.313573122024536}
organ_electronic_028-091-050:{'correct_value': 6, 'wrong_value': 5, 'correct_value_percentage': 0.0012399726983858272, 'wrong_value_percentage': 91.40489101409912}
bass_synthetic_034-034-075:{'correct_value': 0, 'wrong_value': 4, 'correct_value_percentage': 5.311331152915955, 'wrong_value_percentage': 94.68687772750854}
guitar_acoustic_014-026-025:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 1.4177042990922928, 'wrong_value_percentage': 60.56305766105652}
guitar_acoustic_014-103-050:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 19.099685549736023, 'wrong_value_percentage': 44.77759599685669}
reed_acoustic_023-082-075:{'correct_value': 7, 'wrong_value': 1, 'correct_value_percentage': 4.1383717075405e-05, 'wrong_value_percentage': 99.63880777359009}
organ_electronic_028-090-025:{'correct_value': 6, 'wrong_value': 2, 'correct_value_percentage': 0.0016155194316525012, 'wrong_value_percentage': 88.20804357528687}
bass_synthetic_135-096-100:{'correct_value': 0, 'wrong_value': 3, 'correct_value_percentage': 1.726183108985424, 'wrong_value_percentage': 55.0942599773407}
organ_electronic_028-084-075:{'correct_value': 6, 'wrong_value': 2, 'correct_value_percentage': 2.242800718477156e-05, 'wrong_value_percentage': 98.25579524040222}
bass_electronic_018-022-100:{'correct_value': 0, 'wrong_value': 5, 'correct_value_percentage': 24.753354489803314, 'wrong_value_percentage': 70.48478722572327}
guitar_electronic_028-095-075:{'correct_value': 3, 'wrong_value': 0, 'correct_value_percentage': 38.863977789878845, 'wrong_value_percentage': 43.03790628910065}
bass_synthetic_033-091-050:{'correct_value': 0, 'wrong_value': 4, 'correct_value_percentage': 44.09682750701904, 'wrong_value_percentage': 46.018821001052856}
bass_synthetic_134-100-025:{'correct_value': 0, 'wrong_value': 3, 'correct_value_percentage': 12.691429257392883, 'wrong_value_percentage': 87.29411959648132}
bass_synthetic_033-091-025:{'correct_value': 0, 'wrong_value': 4, 'correct_value_percentage': 41.925448179244995, 'wrong_value_percentage': 42.58139431476593}
guitar_acoustic_014-094-100:{'correct_value': 3, 'wrong_value': 5, 'correct_value_percentage': 2.428062818944454, 'wrong_value_percentage': 59.53908562660217}
brass_acoustic_046-105-050:{'correct_value': 1, 'wrong_value': 0, 'correct_value_percentage': 9.956558147394823e-10, 'wrong_value_percentage': 98.95952343940735}
organ_electronic_007-072-127:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 1.7079777592243772e-06, 'wrong_value_percentage': 99.99252557754517}
guitar_acoustic_014-025-100:{'correct_value': 3, 'wrong_value': 1, 'correct_value_percentage': 0.078498205402866, 'wrong_value_percentage': 99.5987594127655}
bass_synthetic_135-065-050:{'correct_value': 0, 'wrong_value': 5, 'correct_value_percentage': 30.697938799858093, 'wrong_value_percentage': 38.818153738975525}
